Work Item Type,Title,Description,Acceptance Criteria,Assigned To,State,Area Path,Iteration Path,Story Points,Priority,Tags
Product Backlog Item,As a visitor I can register and log in so that I can access my account,Email/password registration and login issuing a JWT in an HTTP-only cookie.,Password is hashed; invalid credentials are rejected without revealing which field was wrong; session persists across reload.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 1,5,1,E1-Accounts
Product Backlog Item,As a user I can reset a forgotten password so that I am not locked out,Emailed reset token with expiry.,Token is single-use and expires in 10 minutes; only a hash is stored; old sessions are invalidated after reset.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 1,3,2,E1-Accounts
Product Backlog Item,As an organiser I can create an event with images so that it can be discovered,Event creation with cover image upload to Cloudinary.,Required fields validated; cover image uploads and renders; slug generated; event appears in my events.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 1,8,1,E2-Events
Product Backlog Item,As a visitor I can browse and open events so that I can decide what to attend,Public listing with trending and upcoming plus event detail page.,Listing paginates; detail page shows date time location and ticket tiers; no auth required.,M4-PLACEHOLDER,Done,TicketFlow\Frontend,TicketFlow\Sprint 1,5,1,E2-Events
Product Backlog Item,As the team we have a layered backend architecture so that logic stays testable,Controller to Service to Repository to Model separation.,No controller imports a repository; no service imports a Mongoose model; services take no req/res.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 1,8,1,E8-Quality
Product Backlog Item,As the team we have a repository and branching strategy so that work integrates safely,Git workflow with dev and main plus pull requests.,Feature branches merge via PR; main stays releasable; commits link to work items.,M1-PLACEHOLDER,Done,TicketFlow\DevOps,TicketFlow\Sprint 1,5,2,E8-Quality
Product Backlog Item,As a buyer I can purchase a ticket so that I can attend,Checkout flow with buyer details and Paystack payment.,Multiple buyers supported in one checkout; guest checkout works without an account; confirmation screen shows the ticket.,M4-PLACEHOLDER,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,8,1,E3-Sales
Product Backlog Item,As the business inventory is reserved atomically so that we never oversell,Guarded atomic increment inside a transaction.,Two concurrent purchases of the last seat result in exactly one success; proven by an integration test against a replica set.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 2,13,1,E3-Sales
Product Backlog Item,As the business payment is confirmed server-side so that a client cannot fake success,Paystack webhook verified by HMAC-SHA512 over the raw body.,A forged or unsigned webhook changes no state; a tampered body is rejected; verification is unit-tested.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 2,8,1,E3-Sales
Product Backlog Item,As a buyer my seat is held before I pay so that I am never charged without a ticket,Reserve then pay then confirm flow with a 15 minute hold.,Seats are held before checkout opens; abandoned holds are released; confirmation is idempotent under webhook retries.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 2,8,1,E3-Sales
Product Backlog Item,As a buyer I receive a QR ticket by email so that I can get in,Ticket email containing an inline QR encoding the ticket ID.,Email sends only after payment is confirmed; QR encodes the scannable ticket ID; delivery failure does not void the booking.,M4-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 2,5,1,E3-Sales
Product Backlog Item,As door staff I can scan a QR so that I can admit a guest quickly,Camera scanner using BarcodeDetector with manual code entry alongside.,Scans in under two seconds; manual entry always available; works on mobile.,M4-PLACEHOLDER,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,8,1,E4-Admission
Product Backlog Item,As the business a ticket admits exactly once so that it cannot be reused,Atomic guarded check-in inside a transaction.,Two simultaneous scans of one ticket admit exactly once; the loser receives a clear rejection reason; proven by a concurrency test.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 3,13,1,E4-Admission
Product Backlog Item,As an organiser I can assign ushers so that only my staff can admit,Usher assignment scoped to specific events.,An usher can only admit for assigned events; assignment and removal take effect immediately; rules are unit-tested.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 3,5,1,E4-Admission
Product Backlog Item,As an organiser every scan is logged so that entry is auditable,Append-only audit log of every scan attempt.,Both admissions and rejections are recorded with actor outcome and reason; the log is never updated in place.,M5-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 3,5,2,E4-Admission
Product Backlog Item,As door staff I can admit manually so that a broken screen does not stop the queue,Manual check-in fallback using the same authorisation rule as scanning.,An assigned usher can admit manually; the action is logged as manual; it is excluded from anomaly detection.,M4-PLACEHOLDER,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,3,2,E4-Admission
Product Backlog Item,As the team admission logic is unit-tested without a database so that rules stay verifiable,Pure authorisation functions exported for testing.,Authorisation matrix covered for all four roles; tests run with no database or HTTP layer.,M5-PLACEHOLDER,Done,TicketFlow\QA,TicketFlow\Sprint 3,5,1,E8-Quality
Product Backlog Item,As an organiser I can run an invite-only event so that entry is by guest list,Access mode of public invite_only or hybrid on one event schema.,Purchase is refused for invite-only events; sales dates are not required for them; hybrid supports both paths.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 4,8,1,E2-Events
Product Backlog Item,As an organiser I can import a guest list from CSV or Excel so that setup is fast,Bulk guest import with parsing and validation.,Both CSV and xlsx parse; malformed rows are reported not silently dropped; re-importing does not duplicate guests.,M4-PLACEHOLDER,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,8,1,E5-Guests
Product Backlog Item,As a guest I receive a single-use QR invite so that I can be admitted,Invite token issuance with emailed QR.,Token is cryptographically random and unique; the same scanner endpoint admits invite and purchased guests.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 4,5,1,E5-Guests
Product Backlog Item,As an organiser I see arrivals live so that I can manage the door,Live dashboard over Server-Sent Events.,Admissions appear without refresh; only the event owner or an admin can subscribe; the initial snapshot is populated on connect.,M4-PLACEHOLDER,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,13,1,E6-LiveOps
