ID,Work Item Type,Title 1,Title 2,Description,Acceptance Criteria,Assigned To,State,Area Path,Iteration Path,Effort,Priority,Activity,Tags,Parent
,Product Backlog Item,As a visitor I can ask a concierge about events in plain English so that I need no training,,"AI concierge backed by a hosted model, answering only from real data.",The model never invents an event; with no API key configured the widget degrades to a canned reply rather than an error.,akokic@uni.coventry.ac.uk,New,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 3,13,2,,E10-Concierge;Pair-ijeomac,
,Task,,Build the chat widget with a launcher and message history,,,adetunjim@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Frontend,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Development,E10-Concierge;Pair-ijeomac,
,Task,,"Implement the tool-calling loop with search, event detail and FAQ tools",,,akokic@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Development,E10-Concierge;Pair-ijeomac,
,Task,,Add an OpenAI provider with a Gemini fallback over plain fetch,,,akokic@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Development,E10-Concierge;Pair-ijeomac,
,Task,,Format replies as labelled bullets so the panel renders them legibly,,,adetunjim@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Frontend,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Development,E10-Concierge;Pair-ijeomac,
,Product Backlog Item,As an attendee I can ask what to wear and whether an event runs late so that I can prepare,,Forecast and practical attendance advice for a named event.,Advice comes only from the returned conditions; if no forecast is available the reply says so rather than guessing.,akokic@uni.coventry.ac.uk,New,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 3,5,2,,E10-Concierge;Pair-abiolao5,
,Task,,"Integrate Open-Meteo geocoding and forecast, which needs no API key",,,akokic@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Development,E10-Concierge;Pair-abiolao5,
,Task,,Derive dress and attendance advice from the forecast and the event fields,,,akokic@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Development,E10-Concierge;Pair-abiolao5,
,Task,,Fold the conditions into the event detail tool so one question answers everything,,,akokic@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Development,E10-Concierge;Pair-abiolao5,
,Product Backlog Item,As an organiser I can ask questions about my guest list in plain English so that I need no training,,"Natural-language guest queries, implemented as a local intent parser rather than a language model.",Count and list intents are answered from the guest list only; no guest data leaves the process.,akokic@uni.coventry.ac.uk,New,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 3,8,2,,E7-Intelligence;Pair-ederhio,
,Task,,Build the query box and answer panel on the guest list page,,,adetunjim@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Frontend,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Development,E7-Intelligence;Pair-ederhio,
,Task,,Write the regex intent parser for count and list questions,,,akokic@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Development,E7-Intelligence;Pair-ederhio,
,Task,,Add unit tests covering each supported intent,,,abiolao5@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\QA,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Testing,E7-Intelligence;Pair-ederhio,
,Task,,Write the scheduled retention sweep for events past their window,,,akokic@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 3,,,Development,E5-Guests;Pair-adetunjim,225
,Product Backlog Item,As an organiser I can review scan anomalies so that fraud is visible,,"Rule-based anomaly detection over the audit log, running locally.","Repeated rejects, multiple devices and rapid sequential scans are flagged; manual entries are excluded.",akokic@uni.coventry.ac.uk,New,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 4,8,2,,E7-Intelligence;Pair-adetunjim,
,Task,,Define the anomaly rules and thresholds,,,akokic@uni.coventry.ac.uk,To Do,7003SCN Advanced Software Developmet Group 2\Data and ML,7003SCN Advanced Software Developmet Group 2\Sprint 4,,,Development,E7-Intelligence;Pair-adetunjim,
